term_id,zh-CN,ko
362,内门弟子,내부 제자
363,冉虎,염호
364,军团,군단
365,军团长,군단장
366,军师,군사
367,军帐,막사
368,军阀,군신
369,农夫,농부
370,冥刀斩,명도참
371,冥加,폴
372,冥土贼,명토적
373,冥虎,명호
374,冥魂,명혼
375,冥魂弓,명혼궁
376,冰元素,얼음원소
377,冰原,빙원
378,冰封原,빙봉원
379,冰流雪,빙류설
380,冰灵引,빙령인
381,冰狐,빙호
382,冰袭,빙습
383,冰门,얼음문
384,冰雨降,빙우강
385,冰魄玉,빙백옥
386,冰魔,빙마
387,冲兵,충병
388,冲击波,충격파
389,冲轭,충액
390,冲雨,충우
391,冲魂拳,충혼권
392,冷淡,냉담
393,冷锋,냉봉
394,冷锋剑,냉봉검
395,净化石,정화석
396,准备室,대기실
397,准武尊,준무존
398,准武皇,준무황
399,准霸皇,준패황
400,准魔尊,준마존
401,凌北修,능북수
402,凌气,능기
403,凌霄,능소
404,凝寒玉,응한옥
405,凝星,응성
406,凝神,응신
407,凤凰岩,봉황바위
408,凤凰翎,봉황깃털
409,凤凰草,봉황초
410,凤金,봉금
411,凯勒,켈리
412,凰元,황원
413,凸守,하퍼
414,出云,시블리
415,击反,격반
416,击杀数量,처치 수량
417,击杀榜,처치 랭킹
418,击殇,격상
419,函灵,검령
420,刀华,스피틀
421,刀大宝,도대보
422,刀意,도의
423,刀杰,도호
424,刀法,도법
425,分击,분격
426,分堂一,분당1
427,分海拳,분해권
428,分解剂,분해제
429,切换至BOSS信息,BOSS정보로 변경
430,切线,접촉
431,刑天,형천
432,列德,애틀리
433,刘伯温,유백온
434,刘侠义,유협의
435,刘协,유협
436,刘备,유비
437,刘珂,유가
438,刚毅,불굴의 용기
439,初品,초품
440,初春,링컨
441,初级元素,초급 원소
442,初级宝石,초급 보석
443,初级生命,초급 HP
444,利亚姆,리암
445,利刃,칼날
446,利攻,이공
447,利特,케일
448,利雷,달라스
449,刺拳,자권
450,刺血,척혈
451,刺诀,척결
452,刺骨杀,자골살
453,刺魔猪,척마저
454,前哨,전초
455,剑仙,검선
456,剑冢,검총
457,剑圣,검성
458,剑客,검객
459,剑徒,검도
460,剑来,검래
461,剑殇,검상
462,剑湄,검미
463,剑痴,검치
464,剑舞,검무
465,剑齿虎,검치호
466,剧情本,스토리 던전
467,副将,부장
468,副帮主,부문주
469,副本,던전
470,副本boss,던전 보스
471,副本小怪,던전 몬스터
472,副本次数,던전횟수
473,割喉者,참수자
474,力劈华山,역벽화산
475,力士,장사
476,功勋,공훈
477,加农炮,캐넌포
478,加布,가브
479,加特林,기관총
480,加藤,사미르
481,助岚,조남
482,劫囚者,탈옥자
483,劳模,느림보
484,势力炼气-神纹boss,길드 기 단련-문양boss
485,勃伊,시안
486,勇士币,도전의 주화
487,勇灵,용령
488,勤俭持家,근검절약
489,勺子,숟가락
490,勾陈套,구진 세트
491,勾魂镰,구혼렴
492,包打听,포타청
493,化圣,화성
494,化蝶,화접
495,北条,마커스
496,北极城,북겁성
497,北踏,북답
498,北顺坊,북순방
499,匹配,매칭
500,医书,의서
501,医神,의신
502,十字爪,십자조
503,十美图,십미도
504,十连抽,10연차
505,千人斩,천인참
506,千军破,천군파
507,千层底,수공 신발
508,千手观音,천수관음
509,千机盾,천궤순
510,千涛乱,천도란
511,千纮,십턴
512,千羽宫主,천우궁주
513,千金坠,천근추
514,千锋,천봉
515,升星石,승급석
516,半月刀,반월도
517,华佗,화타
518,华倩文,화청문
519,华常殿,화상전
520,华明殿,화명전
521,华棕,화종
522,华浮宫,화부궁
523,华玥宫,화모궁
524,华离宫,화리궁
525,华阳殿,화양전
526,单体嘲讽,개인 조롱
527,单手剑,한손검
528,南拳,남권
529,南松观,남송관
530,南极仙翁,남극선옹
531,南林鹿,남림 사슴
532,南枫似夏草,단풍나무
533,南皇泽儿boss技能,남황택아 BOSS스킬
534,南皇泽儿boss普攻,남황택아boss일반공격
535,南美区,남미
536,南荒城,남황성
537,博曼,위니
538,博特,에머리
539,博耶,윅스
540,博达,바비
541,占山猴,점산 원숭이
542,卡斯,카스
543,卡牌,카드
544,卢元白,노원백
545,卢卡斯,루카스
546,卢风元,노풍원
547,卦图,괘도
548,卧龙,와룡
549,卫思云,위사운
550,卷云虎,권운 호랑이
551,卷轴NPC,족자NPC
552,卸羽,정우
553,厄刑,액형
554,厄化巨兽,흑화된 괴수
555,厄运,액운
556,厄魅boss技能,액매 BOSS스킬
557,厄魅boss普攻,액매boss일반공격
558,厄魔岛,흑마도
559,历练场,수련장
560,历练本,수련던전
561,原地复活,제자리 부활
562,原属性,기존속성
563,厨娘乙,취사부 을
564,厨娘甲,취사부 갑
565,友情值,우정치
566,双轮转,쌍륜전
567,反叛者,배신자
568,反金刚,반금강
569,反驳,반박
570,发财牛boss技能,행운소 BOSS스킬
571,发财牛boss普攻,행운소boss일반공격
572,变异蜘蛛,변이 거미
573,变身术,변신술
574,古参茶,고삼차
575,召唤书,소환서
576,可薇,카비
577,右野,오웬
578,叶晨boss技能,엽신 BOSS스킬
579,叶晨boss普攻,엽신boss일반공격
580,叶民天,엽민천
581,叶纵,엽종
582,叶鸟,포피
583,号角,호각
584,司空月,사공월
585,吉娜,지나
586,吉来观,길래관
587,吉田,하버드
588,同心结,동심결
589,同甘苦,동감고
590,名医,명의
591,名士,명사
592,后羿,후예
593,后羿弓,후예궁
594,吕伯阳,여백양
595,君天剑,군천검
596,君月,프레이야
597,吞破枪,탄파창
598,含源,함원
599,启灵术,계영술
600,启示,계시
601,吸蓝,MP 흡수
602,吸血蝙蝠,흡혈박쥐
603,呜海,페이지
604,周公瑾,주공근
605,周宁,주녕
606,周常,주간
607,周期,주기
608,周董,주동
609,周迅,주신
610,呶恩,쇼트
611,呼延彬,호연빈
612,命理,명리
613,命门,명문
614,和云,화운
615,和云山,화운산
616,和平使者,평화의 사자
617,和氏璧,화씨벽
618,咖啡厅,카페
619,哈曼,하만
620,哈蒙,에제키엘
621,哈默,데인
622,哑阎王,아염왕
623,哥布林,고블린
624,哥布林强盗,고블린 강도
625,哲铭,철명
626,唐仪,당의
627,唐棠,당당
628,唤天铃,환천령
629,唤魔者,환마자
630,啄米图,좁쌀도
631,商人,상인
632,商旗,상로 깃발
633,商王巨贾,거상
634,啸风虎,소풍호
635,喂食,먹이기
636,善恶模式,선악 모드
637,善缘值,선연점수
638,喙尖爪利,날카로운 발톱
639,喜鹊,까치
640,喵轰炸,묘굉작
641,喵连击,묘연격
642,嗜血狼,흡혈늑대
643,器灵总等级,기령 총 레벨
644,噩梦,악몽
645,噬魂者,소울이터
646,噬魄枪,서백창
647,噬魔,서마
648,四叶草,네잎클로버
649,四海皆兄弟,사해형제
650,四肢,사지
651,四象,사상
652,四转,4차
653,四转正,4차 정파 전직
654,四转邪,4차 사파 전직
655,四面楚歌,사면초가
656,回廊,회랑
657,回归礼包,복귀선물
658,回旋刃,회선인
659,回旋攻击,회전 공격
660,团员,단원
661,困难难度,어려움 난이도
662,围棋,바둑
663,固本丹,혈정완
664,国人,국민
665,国光,리에더
666,图纸,도면
667,图鉴,도감
668,图鉴卡,도감카드
669,圆形,원형
670,圆柱体,원기둥
671,圆藤,기아나
672,土元素,땅의 원소
673,土影,토영
674,土生金,토생금
675,土石熊,토석웅
676,圣光盾,신성한 빛의 방패
677,圣兽,성수
678,圣力,신성한 힘
679,圣升boss技能,성승 BOSS스킬
680,圣升boss普攻,성승 boss일반공격
681,圣台,성대
682,圣品,성품
683,圣堂,성당
684,圣天使,성천사
685,圣天扇,성천부채
686,圣尊,성존
687,圣御,신의 보호
688,圣树,성목
689,圣甲,성갑
690,圣神,성신
691,圣者弓,성자궁
692,圣言者,성인
693,圣诞帽,크리스마스 모자
694,圣诞雪橇,크리스마스 썰매
695,圣速,빛의 속도
696,圣骑,성기사
697,在线礼包,접속 선물
698,地元丹,지원단
699,地心铁,지심철
700,地洞,땅굴
701,地狱枪,지옥창
702,地穴,구덩이
703,地荡,지탕
704,地震术,어스퀘이크
705,地龙,지룡
706,坐标,좌표
707,坐骑,탈것
708,坐骑boss凤凰,탈것boss봉황
709,坐骑boss狐狸,탈것boss여우
710,坐骑boss狼,탈것boss늑대
711,坐骑boss飞龙,탈것boss비룡
712,坐骑boss魔虎,탈것boss마호
713,坐骑boss麒麟,탈것boss기린
714,坐骑凤凰boss技能,탈것 봉황 BOSS스킬
715,坐骑榜,탈것랭킹
716,坐骑灵,탈것 영
717,坐骑狐狸boss技能,탈것 여우 BOSS스킬
718,坐骑狼boss技能,탈것 늑대 BOSS스킬
719,坐骑皮肤,탈것 스킨
720,坐骑自选宝箱,탈것 선택상자
721,坐骑说明,탈것 설명
722,坐骑飞龙boss技能,탈것 비룡 BOSS스킬
723,坐骑魔虎boss技能,탈것 마호 BOSS스킬
724,坐骑麒麟boss技能,탈것 기린 BOSS스킬
725,坚不破,견부파
726,坚冰,견빙
727,坟墓,무덤
728,坠天击,추천격
729,埃玛,파비앙
730,城天观,성천관
731,城寨,성채
732,城碧刀,성벽도
733,城门护卫,별문양 호위병
734,培根,베이컨
735,基洛,치로
736,基础伤害,기본 피해
737,基础命中,기본 명중
738,基础技能,기본 스킬
739,基础攻击,기본 공격
740,堀江,그레이엄
741,堕落之塔,타락
742,堕落岩,타락 바위
743,堕魔岩,악마 바위
744,塔克,브론슨
745,塔塔,타타
746,境界丹,경지단
747,墨刃,묵인
748,墨子,묵자
749,墨武镇,묵무진
750,墨狄,묵적
751,墨狐boss技能,묵호 BOSS스킬
752,墨狐boss普攻,묵호 boss일반공격
753,墨羽,묵우
754,墨舞,묵무
755,墨还笔,묵환필
756,士兵乙,사병 을
757,士官,사관
758,处刑人,집행자
759,复仇战,복수전
760,复合弓,컴파운드 보우
761,复活球,부활구
762,复苏的骷髅,부활한 스켈레톤
763,夏侯霸,하후패
764,夏小叶,하소협
765,夔牛,기우
766,外甲,외갑
767,外门弟子,외문제자
768,多少段,몇단
769,多尔夫,돌프
770,多彩,다채
771,多恩姆,도룸
772,夜叉,야차
773,夜明珠,야명주
774,夜晚,밤
775,夜萝洲,야라주
776,大剑士,대검사
777,大商人,대상인
778,大地之神,대지의 신
779,大天使,대천사
780,大天使之剑,대천사의 검
781,大宗师,대종사
782,大将军,대장군
783,大手印,대수인
784,大混战,대혼전
785,大灰狼,큰늑대
786,大猴子,큰 원숭이
787,大胃王,대위왕
788,大角猿,큰뿔 원숭이
789,大谷,세이지
790,大贤者,대현자
791,大邪魔,대사마
792,大魔导师,대마도사
793,天一仙,천일
794,天人剑,천인검
795,天冲,천충
796,天刺,천척
797,天命剑,천명검
798,天命石,천명석
799,天地剑,천지검
800,天威,천위
801,天官,천관
802,天宫,천궁
803,天工石,천공석
804,天帅,천수
805,天帝,천제
806,天弈拳,천혁권
807,天心,천심
808,天心儿,천심아
809,天怒仙,천노
810,天战,천전
811,天星,천성
812,天武,천무
813,天水城,천수성
814,天演,천연
815,天狐,천호
816,天狼弓,천랑궁
817,天王,천왕
818,天琊,천야
819,天眼术,천안술
820,天神,천신
821,天秤座,천칭자리
822,天符,천부
823,天罡,천강
824,天罡卫,천강위
825,天耀,천요
826,天草,커크
827,天蚕丝,천잠사
828,天蚕布,천잠포
829,天蝎座,전갈자리
830,天衣,천의
831,天诛枪,천주창
832,天谕,천유
833,天铘枪,천야창
834,天阙,천문
835,天雷珠,천뢰주
836,天香,천향
837,天魁,천괴
838,天魔,천마
839,天鼓,천고
840,天龙,천룡
841,太上老君,태상노군
842,太乙,태을
843,太初,태초
844,太岁,태세
845,太平经,태평경
846,太月扇,태월부채
847,太极,태극
848,太极图,태극도
849,太玄经,태현경
850,太虚甲,태허갑
851,太阴,태음
852,失魂,실혼
853,头带,머리띠
854,头骨,머리뼈
855,夸父,과보
856,夺命剑,탈명검
857,夺魁数,우승 횟수
858,夺魂弓,탈혼궁
859,奇缘任务,기연 퀘스트
860,奇门遁甲,기문둔갑
861,奈落,페나
862,奈薰,새먼
863,奋力击,최후의 일격
864,套装,세트
865,套装属性,세트 속성
866,套装石,세트석
867,奥利弗,올리버
868,奥图,시드니
869,奥斯卡,오스카
870,奥术,아케인
871,奥村,베티
872,奥玛,트레이너
873,奥琳,스위니
874,奥能,오넬
875,女仆,메이드
876,女儿红,여아홍주
877,女妖,요물
878,女强盗,여강도
879,女战士,여전사
880,女神,여신
881,奶油,크림
882,好感度,호감도
883,如樱鹿,꽃사슴
884,妖丹,요단
885,妖人,요인
886,妖兽攻山,요괴의 공격
887,妖刀姬,요도히메
888,妖夜,요야
889,妖女,요녀
890,妖气,요기
891,妖狼,요랑
892,妖祖,요조
893,姚周兴,조주흥
894,姬轩轩,희헌헌
895,威胁信,협박편지
896,威赫,위풍
897,婚戒,결혼반지
898,婚车,웨딩카
899,嫩豆腐,순두부
900,嫩青竹,푸른 대나무
901,子怡服,자이
902,子技能,서브스킬
903,子爵,자작
904,子龙,자룡
905,孔宣,공선
906,孔雀,공작
907,孙三娘,손삼랑
908,孙悟空,손오공
909,孙霸义,손패의
910,孝雄,닐
911,孟志义,맹지의
912,季度卡,시즌권
913,孤岛,고도
914,孤灵,호령
915,宁兰观,영란관
916,宁玉观,저옥관
917,宁苑洞,영원동
918,宁阳洞,저양동
919,宇德,세빈
920,守卫队长,수위대장
921,守墓人,무덤지기
922,守尸鬼,수시귀
923,守山人,산지기
924,守护值,수호치
925,守护旗帜,깃발 수호
926,守护榜,수호랭킹
927,守护者,수호자
928,守护者boss技能,수호자 BOSS스킬
929,守护者boss普攻,수호자 boss일반공격
930,安倍,아이다
931,安卢坊,안로방
932,安商道,안상도
933,安妮,애니
934,宋元,송원
935,宋应星,송응성
936,宋慈,송자
937,宋枭,송효
938,宋霸仁,송패인
939,宗师级,전문가
940,宗门战,종문전
941,官府,관청
942,官邸,저택
943,定光石,오팔
944,定魂,정혼
945,宝爷,어르신
946,宝珠,보주
947,宝石,보석
948,宝石孔,보석 슬롯
949,宝石等级总和,보석 총 레벨
950,宝石精华,보석 정수
951,宝石能量,보석 에너지
952,宝竹,보죽
953,宝藏探险家,보물 탐험가
954,宝靴,보화
955,宠伤,펫 피해
956,宠物,펫
957,宫下,나오미
958,宫水,헤이즐
959,家丁甲,하인 갑
960,家具,가구
961,家园村,가원촌
962,宿海,조비타
963,寄居蟹,소라게
964,密宗裤,릴리전 트라우저
965,密林深处,숲 깊은 곳
966,密林裤,포레스트 바지
967,富贵天,금은보화
968,寒冰刺,한빙자
969,寒冰狼,얼음 늑대
970,寒冰草,한빙초
971,寒刚石,한강석
972,寒川,아일라
973,寒月剑,한월검
974,寒沁,한심
975,寒流,한파
976,寒狩,한수
977,寒铁刀,한철도
978,寒露,한로
979,寒香,한향
980,对头兵,대두병
981,对战,대전
982,对战区,대전지역
983,寺律,심즈
984,寻剑,검찾기
985,寻宝客,보물사냥꾼
986,寻宝道具,소환 아이템
987,寻符,부적 찾기
988,寻龙,용 찾기
989,封神,봉신
990,封穴,봉혈
991,封魂击,봉혼격
992,封魂咒,봉혼주
993,封魔,봉마
994,封魔弓,봉마궁
995,射手座,궁수좌
996,将臣,장신
997,尉官,위관
998,尊影道,존영도
999,小不点,꼬맹이
1000,小丑,조커
1001,小亭,정자
1002,小僵尸,소형 꼭두각시
1003,小利比,리비
1004,小医仙,소의선
1005,小呆,바보
1006,小善,소선
1007,小护符,작은 탈리스만
1008,小柱,소주
1009,小歪,퍼그
1010,小毒人,소독인
1011,小毒珠,소독주
1012,小狐狸,작은 여우
1013,小白龙,소백룡
1014,小石堆,돌무더기
1015,小竹,소죽
1016,小篆,소전
1017,小翠,소취
1018,小贩,소상인
1019,小龟赛跑,거북이 경주
1020,少将,소장
1021,少尉,소위
1022,少年意,소년시대
1023,少昊,소호
1024,少星,소성
1025,少量伤害,적은 피해
1026,尤娜,유나
1027,尤金,유진
1028,就它了,바로 이거야
1029,尸鬼,시귀
1030,尸魔,시마
1031,尹长老,윤장로
1032,尺规,컴퍼스
1033,尼克斯,닉스
1034,尼德霍格,니드호그
1035,尾火虎,미화호
1036,尾风,미풍
1037,屈从,굴복
1038,展护卫,전호위
1039,属性总览,속성 전체보기
1040,属性石,속성석
1041,屠龙刀,도룡도
1042,屠龙者,도용자
1043,山乐洞,산락동
1044,山夕寺,산석사
1045,山寨,산채
1046,山岳,산악
1047,山治,내시
1048,山贼,산적
1049,山顶公,산정공
1050,岗哨,초소
1051,岚云珠,남운주
1052,岚缚,남박
1053,岚雪怪,남설괴
1054,岛左,세일럼
1055,岩咲,조지
1056,岩户,스터키
1057,岩晶豹,암정표
1058,岩毒龟,바위 독 거북이
1059,岩熊,바위 곰
1060,岩羊肉,들양고기
1061,岩龟,바위 거북이
1062,岱尘脉,대진맥
1063,岳飞,악비
1064,峡谷,협곡
1065,峨嵋,아미
1066,崆峒印,공동인
1067,崔玄之,최현지
1068,崖血苔,애혈태
1069,崩碎拳,붕쇄권
1070,川庆山,천경산
1071,川新道,천신도
1072,州登山,주등산
1073,州贡坊,주공방
1074,巡查镜,순찰경
1075,巡河车,순하차
1076,工具包,공구함
1077,工坊,공방
1078,左休,좌휴
1079,左有为,좌유위
1080,左王,루나
1081,左贺,파블로
1082,巧取,교묘하게 획득
1083,巧手,교수
1084,巨型蜘蛛,초대형거미
1085,巨砂熊,거대한 곰
1086,巨耳象,귀큰 코끼리
1087,巨蛇,거대 뱀
1088,巨阙,거궐
1089,巨鳄,거대 악어
1090,巨龙之力,용의 힘
1091,巨龙之魂,용의 혼
1092,巫凤尾,무봉미
1093,巫月,무월
1094,巫邪,무사
1095,巴伦,본
1096,巴卡,카일
1097,巴卫,모턴
1098,巴德,터튼
1099,巴比,트럼프
1100,巴洛,비커스
1101,巴罗,베가
1102,巴金,파금
1103,市区,도시
1104,布尔,우드로우
1105,布袋虎,포대 호랑이
1106,帅小哥,멋쟁이
1107,师妹,사매
1108,师尊,사존
1109,师祖,사조
1110,帘卷笙声寂,피리 소리
1111,帝品,제품
1112,帝天刀,제천도
1113,帝威,제위
1114,帮主,문주
1115,帮会任务,문파 퀘스트
1116,帮会商店,문파 상점
1117,帮会模式,문파 모드
1118,帮派战,문파전
1119,帮派驻地,문파 주둔지
1120,常规技能,일반 스킬
1121,平安树,평안수
1122,平局,무승부
1123,平川洞,평천동
1124,平鹤峰,평학봉
1125,并蒂莲,연꽃 한쌍
1126,幸平,제이시
1127,幸福树,행복수
